TotalAmount;BikePurchase;CustomerID;Country;CountryRegionCode;Group;PersonID;PersonType;DateFirstPurchase;BirthDate;Age;MaritalStatus;YearlyIncome;Gender;TotalChildren;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
6533;1;11018;Australia;AU;Pacific;7394;IN;37092;16354;76;S;25001-50000;M;2;Partial College;Clerical;1;2
7239;1;13260;Germany;DE;Europe;6367;IN;37092;21102;63;M;greater than 100000;M;3;Partial College;Professional;1;2
4733;1;16515;Australia;AU;Pacific;15798;IN;37092;29255;40;M;0-25000;M;0;Partial College;Manual;0;1
1893;1;25252;Australia;AU;Pacific;11781;IN;37092;20549;64;S;75001-100000;M;1;Partial College;Skilled Manual;0;1
5957;1;11599;France;FR;Europe;16764;IN;37093;28384;43;S;0-25000;F;0;High School;Manual;0;1
6002;1;16495;Australia;AU;Pacific;13787;IN;37093;19944;66;S;75001-100000;F;2;Partial College;Skilled Manual;0;2
4733;1;16516;Australia;AU;Pacific;4351;IN;37093;29429;40;M;0-25000;M;0;Bachelors ;Clerical;1;0
5895;1;16620;Australia;AU;Pacific;17515;IN;37093;26800;47;M;75001-100000;M;0;Bachelors ;Professional;1;3
8248;1;11000;Australia;AU;Pacific;13531;IN;37094;24205;54;M;75001-100000;M;2;Bachelors ;Professional;1;0
6565;1;11029;Australia;AU;Pacific;15638;IN;37094;17157;74;M;25001-50000;M;2;Partial College;Clerical;1;2
7511;1;11239;United Kingdom;GB;Europe;16405;IN;37094;21464;62;M;greater than 100000;F;2;Partial College;Professional;0;2
5932;1;11601;France;FR;Europe;8185;IN;37094;28358;43;S;25001-50000;M;0;Partial College;Clerical;1;1
5913;1;11607;France;FR;Europe;14613;IN;37094;27523;45;S;0-25000;M;0;High School;Manual;1;1
4175;1;16484;Australia;AU;Pacific;2560;IN;37094;18301;70;M;25001-50000;M;2;Partial College;Clerical;0;2
5973;1;16623;Australia;AU;Pacific;5070;IN;37094;26911;47;S;greater than 100000;M;5;Bachelors ;Professional;1;4
3399;1;25857;Northwest;US;North America;12801;IN;37094;16320;76;S;25001-50000;F;5;Partial High School;Clerical;0;2
4643;1;25865;Northwest;US;North America;12880;IN;37094;16931;74;M;25001-50000;M;5;High School;Professional;1;3
5997;1;27667;Southwest;US;North America;3462;IN;37094;20080;66;M;50001-75000;F;3;High School;Professional;0;1
3399;1;29385;Germany;DE;Europe;20242;IN;37094;23075;57;S;0-25000;M;4;High School;Manual;0;1
4173;1;16345;Australia;AU;Pacific;2558;IN;37095;19656;67;M;25001-50000;M;3;Partial College;Skilled Manual;1;2
4698;1;16521;Australia;AU;Pacific;8440;IN;37095;29078;41;S;0-25000;F;1;High School;Manual;0;0
5932;1;16636;Australia;AU;Pacific;14743;IN;37095;25806;50;M;greater than 100000;M;0;High School;Management;1;4
2431;1;17956;France;FR;Europe;2840;IN;37095;25838;50;S;25001-50000;M;0;Bachelors ;Clerical;1;0
5998;1;27615;Southwest;US;North America;3264;IN;37095;23834;55;M;greater than 100000;F;3;Bachelors ;Management;1;4
5908;1;11593;France;FR;Europe;6946;IN;37096;28209;43;S;0-25000;M;0;High School;Manual;1;1
8375;1;13583;United Kingdom;GB;Europe;13606;IN;37096;20040;66;S;75001-100000;M;3;High School;Professional;1;2
4187;1;21710;Canada;CA;North America;7208;IN;37096;21494;62;M;25001-50000;F;2;Partial College;Clerical;1;1
8368;1;13585;United Kingdom;GB;Europe;8995;IN;37097;19496;67;M;75001-100000;F;4;Partial College;Professional;0;1
3036;1;14510;Northwest;US;North America;16998;IN;37097;24886;52;S;75001-100000;M;2;Bachelors ;Management;1;2
4698;1;16523;Australia;AU;Pacific;17649;IN;37097;28866;41;M;0-25000;F;0;Bachelors ;Clerical;1;0
4127;1;21741;Canada;CA;North America;8044;IN;37097;20620;64;M;50001-75000;F;3;Partial College;Professional;1;2
8196;1;11004;Australia;AU;Pacific;11901;IN;37098;25058;52;S;75001-100000;F;5;Bachelors ;Professional;1;4
6575;1;11026;Australia;AU;Pacific;2857;IN;37098;16895;74;S;25001-50000;M;2;Partial College;Clerical;0;2
5873;1;11611;France;FR;Europe;6464;IN;37098;27087;46;M;0-25000;M;0;Partial High School;Manual;0;1
7853;1;13259;Germany;DE;Europe;15864;IN;37098;21131;63;M;greater than 100000;M;2;Partial College;Professional;0;2
5903;1;16350;Australia;AU;Pacific;3860;IN;37098;19769;66;S;75001-100000;M;2;Partial College;Skilled Manual;1;2
8119;1;11006;Australia;AU;Pacific;6229;IN;37099;24082;55;S;50001-75000;F;0;Bachelors ;Professional;1;1
5961;1;16494;Australia;AU;Pacific;6880;IN;37099;20053;66;S;75001-100000;F;2;Partial College;Skilled Manual;0;2
5960;1;16496;Australia;AU;Pacific;12207;IN;37099;19862;66;S;75001-100000;F;2;Partial College;Skilled Manual;1;2
4752;1;16519;Australia;AU;Pacific;3645;IN;37099;27986;44;S;0-25000;F;1;High School;Manual;0;0
4698;1;16528;Australia;AU;Pacific;7498;IN;37099;28727;42;S;0-25000;F;0;Bachelors ;Clerical;1;0
4603;1;25866;Northwest;US;North America;12869;IN;37099;17116;74;M;25001-50000;M;5;High School;Professional;1;4
5997;1;27662;Southwest;US;North America;4817;IN;37099;22082;60;S;greater than 100000;F;5;Partial College;Professional;1;4
3374;1;28390;France;FR;Europe;7852;IN;37099;23469;56;S;0-25000;M;3;High School;Manual;0;1
8106;1;11008;Australia;AU;Pacific;14673;IN;37100;23565;56;S;50001-75000;F;4;Bachelors ;Professional;1;3
1528;1;14558;Northwest;US;North America;2784;IN;37100;25884;50;M;25001-50000;F;1;Bachelors ;Skilled Manual;1;0
5898;1;16349;Australia;AU;Pacific;7910;IN;37100;19829;66;S;75001-100000;M;2;Partial College;Skilled Manual;0;2
3034;1;19942;United Kingdom;GB;Europe;6953;IN;37100;18118;71;S;greater than 100000;M;5;Partial College;Management;0;4
1883;1;25250;Australia;AU;Pacific;18436;IN;37100;20921;63;S;50001-75000;M;1;Partial College;Skilled Manual;0;1
6021;1;27651;Southwest;US;North America;15130;IN;37100;20399;65;M;75001-100000;M;2;High School;Professional;1;1
6047;1;27663;Southwest;US;North America;15761;IN;37100;22183;60;S;greater than 100000;M;1;Graduate Degree;Management;0;2
5997;1;27669;Southwest;US;North America;10955;IN;37100;19687;67;M;50001-75000;F;3;Graduate Degree;Management;1;2
6474;1;11028;Australia;AU;Pacific;15088;IN;37101;16903;74;M;25001-50000;F;2;Partial College;Clerical;1;2
8361;1;13584;United Kingdom;GB;Europe;14767;IN;37101;19588;67;S;50001-75000;M;4;High School;Professional;1;1
5918;1;16347;Australia;AU;Pacific;9511;IN;37101;19513;67;M;50001-75000;M;2;Graduate Degree;Management;1;2
3578;1;27605;Northwest;US;North America;4094;IN;37101;20842;63;M;50001-75000;M;2;High School;Professional;1;2
3578;1;27611;Southwest;US;North America;15701;IN;37101;20792;64;M;50001-75000;M;2;High School;Professional;1;2
8091;1;11009;Australia;AU;Pacific;20229;IN;37102;23468;56;S;50001-75000;M;0;Bachelors ;Professional;0;1
3374;1;19802;Canada;CA;North America;8348;IN;37102;27223;46;S;25001-50000;F;0;High School;Professional;0;2
4132;1;21727;Canada;CA;North America;7709;IN;37102;26839;47;M;25001-50000;F;0;Graduate Degree;Skilled Manual;1;0
699;1;26620;Canada;CA;North America;10202;IN;37102;24613;53;S;25001-50000;F;0;Partial College;Skilled Manual;0;1
4539;1;28393;France;FR;Europe;6436;IN;37102;24295;54;S;25001-50000;M;0;Bachelors ;Professional;1;0
7300;1;13406;Germany;DE;Europe;19058;IN;37103;20825;63;M;greater than 100000;M;2;Partial College;Professional;1;2
5973;1;16630;Australia;AU;Pacific;9439;IN;37103;26491;48;M;greater than 100000;M;0;High School;Management;1;4
2435;1;17957;France;FR;Europe;16460;IN;37103;25833;50;S;25001-50000;F;0;Bachelors ;Clerical;1;0
5962;1;27641;Southwest;US;North America;7293;IN;37103;22776;58;S;greater than 100000;F;1;Partial College;Professional;1;4
3578;1;27673;Northwest;US;North America;10973;IN;37103;19502;67;S;50001-75000;F;3;Graduate Degree;Management;1;2
13195;1;12124;France;FR;Europe;18487;IN;37104;20859;63;S;greater than 100000;F;2;Partial College;Professional;1;3
5918;1;13546;Germany;DE;Europe;17140;IN;37104;25771;50;M;25001-50000;M;0;Bachelors ;Clerical;1;0
6070;1;16743;Australia;AU;Pacific;9463;IN;37104;15481;78;M;25001-50000;F;2;Bachelors ;Management;1;2
4167;1;22041;Canada;CA;North America;9033;IN;37104;26787;47;S;50001-75000;F;0;Partial College;Skilled Manual;0;1
5997;1;28066;Southwest;US;North America;18064;IN;37104;25309;51;M;75001-100000;M;2;Graduate Degree;Professional;1;0
13294;1;12132;France;FR;Europe;20610;IN;37105;20412;65;M;greater than 100000;F;3;Partial College;Professional;1;4
5908;1;16661;Australia;AU;Pacific;19385;IN;37105;20560;64;S;50001-75000;M;2;High School;Skilled Manual;1;2
3578;1;28018;Southwest;US;North America;19776;IN;37105;16517;75;S;25001-50000;F;2;Partial High School;Skilled Manual;1;3
8168;1;11055;Australia;AU;Pacific;9489;IN;37106;19058;68;M;25001-50000;M;2;Partial College;Skilled Manual;1;2
4355;1;16662;Australia;AU;Pacific;17616;IN;37106;20887;63;S;50001-75000;F;2;High School;Professional;0;2
6099;1;16740;Australia;AU;Pacific;5369;IN;37106;14910;80;M;25001-50000;M;2;Bachelors ;Management;0;2
1854;1;25270;Australia;AU;Pacific;16321;IN;37106;15952;77;M;25001-50000;F;2;Bachelors ;Management;0;2
6478;1;11031;Australia;AU;Pacific;13917;IN;37107;17401;73;M;0-25000;F;4;High School;Skilled Manual;1;2
6491;1;11034;Australia;AU;Pacific;9657;IN;37107;17337;73;M;0-25000;F;4;High School;Skilled Manual;1;2
5908;1;13548;Germany;DE;Europe;8583;IN;37107;25837;50;M;25001-50000;F;0;Bachelors ;Clerical;1;0
6056;1;16741;Australia;AU;Pacific;17317;IN;37107;14861;80;M;25001-50000;M;2;Bachelors ;Management;0;2
5985;1;28038;Southwest;US;North America;19176;IN;37107;17583;72;M;50001-75000;M;2;Partial College;Professional;1;2
5873;1;16659;Australia;AU;Pacific;12222;IN;37108;20426;65;S;75001-100000;F;2;High School;Skilled Manual;1;2
4157;1;16686;Australia;AU;Pacific;6302;IN;37108;22842;58;M;50001-75000;F;1;Bachelors ;Professional;1;1
4347;1;17047;Australia;AU;Pacific;15175;IN;37108;25431;51;M;75001-100000;F;1;Graduate Degree;Management;1;0
3142;1;20048;United Kingdom;GB;Europe;7600;IN;37108;26485;48;S;25001-50000;F;0;High School;Manual;0;1
1882;1;25294;Australia;AU;Pacific;8521;IN;37108;26225;49;S;greater than 100000;F;0;Partial High School;Management;1;4
5997;1;28065;Southwest;US;North America;17870;IN;37108;24111;54;S;50001-75000;F;5;Graduate Degree;Professional;0;0
6582;1;11047;Australia;AU;Pacific;12928;IN;37109;18321;70;M;25001-50000;F;3;High School;Skilled Manual;0;2
8223;1;11054;Australia;AU;Pacific;9790;IN;37109;19063;68;M;25001-50000;F;2;Partial College;Skilled Manual;1;2
8460;1;13600;United Kingdom;GB;Europe;10129;IN;37109;18678;69;M;greater than 100000;F;4;Partial College;Professional;0;4
1503;1;14565;Southwest;US;North America;10429;IN;37109;25294;51;S;25001-50000;F;2;Bachelors ;Skilled Manual;1;0
4385;1;16675;Australia;AU;Pacific;10689;IN;37109;21718;61;S;greater than 100000;F;0;Graduate Degree;Management;0;3
6070;1;16687;Australia;AU;Pacific;14446;IN;37109;22382;59;S;50001-75000;M;1;Partial College;Skilled Manual;0;1
4417;1;16712;Australia;AU;Pacific;5021;IN;37109;20752;64;S;50001-75000;F;1;Partial College;Skilled Manual;0;1
6060;1;17051;Australia;AU;Pacific;5831;IN;37109;24894;52;M;50001-75000;F;2;Bachelors ;Professional;1;1
5908;1;16639;Australia;AU;Pacific;15007;IN;37110;26125;49;S;greater than 100000;F;0;Partial High School;Professional;1;4
4506;1;16696;Australia;AU;Pacific;5898;IN;37110;23784;55;S;50001-75000;F;0;Bachelors ;Professional;0;1
3578;1;27726;Southwest;US;North America;10874;IN;37110;29306;40;S;25001-50000;F;0;High School;Skilled Manual;0;2
3578;1;28014;Southwest;US;North America;11367;IN;37110;16368;76;S;25001-50000;F;5;Partial High School;Clerical;0;2
6471;1;11030;Australia;AU;Pacific;17272;IN;37111;17220;73;M;0-25000;F;2;Partial High School;Clerical;1;2
8376;1;13602;United Kingdom;GB;Europe;7614;IN;37111;18400;70;M;greater than 100000;F;4;Partial College;Management;1;2
5913;1;13661;United Kingdom;GB;Europe;16063;IN;37111;27705;45;M;25001-50000;M;1;Bachelors ;Skilled Manual;1;0
3150;1;20049;United Kingdom;GB;Europe;12335;IN;37111;26107;49;S;0-25000;F;0;Partial High School;Manual;0;2
6451;1;11035;Australia;AU;Pacific;13948;IN;37112;17587;72;M;0-25000;F;2;Partial High School;Clerical;1;2
6616;1;11046;Australia;AU;Pacific;19870;IN;37112;18344;70;M;25001-50000;F;3;High School;Skilled Manual;1;2
5873;1;16658;Australia;AU;Pacific;8962;IN;37112;20194;65;S;75001-100000;F;2;High School;Skilled Manual;1;2
6021;1;28068;Southwest;US;North America;3025;IN;37112;25489;51;S;75001-100000;F;3;Graduate Degree;Professional;0;0
6437;1;11038;Australia;AU;Pacific;18643;IN;37113;17615;72;M;0-25000;F;2;Partial High School;Clerical;1;2
6636;1;11039;Australia;AU;Pacific;15676;IN;37113;17884;72;M;25001-50000;M;3;Partial College;Clerical;1;2
4183;1;16685;Australia;AU;Pacific;13738;IN;37113;22810;58;S;50001-75000;F;1;Bachelors ;Professional;1;1
6021;1;16745;Australia;AU;Pacific;14217;IN;37113;15669;78;S;50001-75000;F;2;Graduate Degree;Management;0;1
6047;1;28031;Southwest;US;North America;10545;IN;37113;17235;73;S;50001-75000;F;2;Bachelors ;Management;0;1
5997;1;28076;Southwest;US;North America;17590;IN;37113;24788;53;S;greater than 100000;M;0;Graduate Degree;Management;0;2
5900;1;16657;Australia;AU;Pacific;4809;IN;37114;20169;65;M;75001-100000;M;2;High School;Skilled Manual;0;2
4158;1;16684;Australia;AU;Pacific;20105;IN;37114;22968;58;M;50001-75000;M;1;Bachelors ;Professional;1;1
3578;1;28040;Northwest;US;North America;16502;IN;37114;17951;71;M;50001-75000;M;2;Partial College;Professional;0;2
5997;1;28067;Southwest;US;North America;19339;IN;37114;25549;51;M;75001-100000;F;3;Graduate Degree;Professional;1;0
5971;1;28071;Southwest;US;North America;12820;IN;37114;25032;52;M;75001-100000;M;0;Bachelors ;Management;0;1
6528;1;13540;Germany;DE;Europe;15324;IN;37115;21981;60;M;25001-50000;F;3;Graduate Degree;Clerical;1;0
5873;1;13687;United Kingdom;GB;Europe;16787;IN;37115;26894;47;M;25001-50000;M;1;Bachelors ;Skilled Manual;1;1
6090;1;16703;Australia;AU;Pacific;16269;IN;37115;22771;58;M;50001-75000;F;1;Partial College;Skilled Manual;1;1
4163;1;21939;Canada;CA;North America;15949;IN;37115;21620;61;M;50001-75000;M;2;Graduate Degree;Professional;1;1
3578;1;28039;Southwest;US;North America;4409;IN;37115;17778;72;S;50001-75000;M;2;Bachelors ;Management;0;0
6026;1;28063;Southwest;US;North America;9603;IN;37115;24453;54;M;50001-75000;F;4;Graduate Degree;Professional;1;0
6498;1;11048;Australia;AU;Pacific;13513;IN;37116;18589;70;M;25001-50000;M;3;High School;Skilled Manual;1;2
1476;1;14576;Northwest;US;North America;3653;IN;37116;24980;52;S;50001-75000;F;2;Bachelors ;Skilled Manual;0;0
4377;1;16664;Australia;AU;Pacific;9893;IN;37116;21353;62;M;greater than 100000;F;0;Graduate Degree;Management;1;1
1854;1;25271;Australia;AU;Pacific;16808;IN;37116;16038;77;S;25001-50000;M;2;Bachelors ;Management;0;2
5971;1;28030;Northwest;US;North America;16267;IN;37116;17445;73;S;50001-75000;M;2;Bachelors ;Management;0;1
5948;1;13515;Germany;DE;Europe;4861;IN;37117;15526;78;M;0-25000;F;1;Partial College;Manual;1;0
5908;1;13545;Germany;DE;Europe;9391;IN;37117;25735;50;M;25001-50000;M;0;Bachelors ;Clerical;1;0
3578;1;28017;Northwest;US;North America;18200;IN;37117;16612;75;S;25001-50000;M;5;Partial High School;Clerical;0;3
5997;1;28070;Southwest;US;North America;15339;IN;37117;24938;52;S;75001-100000;M;0;Bachelors ;Management;1;1
7175;1;11244;United Kingdom;GB;Europe;12751;IN;37118;21150;63;S;greater than 100000;F;2;Bachelors ;Management;0;3
5974;1;16638;Australia;AU;Pacific;17904;IN;37118;26156;49;M;greater than 100000;M;0;Partial High School;Professional;1;4
5898;1;16660;Australia;AU;Pacific;14419;IN;37118;20609;64;S;50001-75000;M;2;High School;Skilled Manual;0;2
5819;1;25872;Northwest;US;North America;8118;IN;37118;17458;73;S;50001-75000;F;2;Bachelors ;Management;0;1
3578;1;28042;Southwest;US;North America;18914;IN;37118;18003;71;S;50001-75000;M;2;Bachelors ;Management;0;0
5962;1;28083;Southwest;US;North America;20636;IN;37118;25067;52;M;greater than 100000;F;2;Graduate Degree;Management;1;3
4733;1;16929;Australia;AU;Pacific;10187;IN;37120;16965;74;M;25001-50000;F;2;Partial College;Clerical;0;2
6495;1;11033;Australia;AU;Pacific;9475;IN;37121;17433;73;M;0-25000;M;4;High School;Skilled Manual;1;2
4118;1;21813;Canada;CA;North America;4458;IN;37121;19239;68;M;50001-75000;M;2;High School;Professional;0;2
3578;1;27681;Southwest;US;North America;11766;IN;37121;18789;69;M;25001-50000;F;4;Partial College;Professional;0;2
5997;1;27920;Southwest;US;North America;19104;IN;37121;26652;48;S;50001-75000;F;0;Partial College;Skilled Manual;1;2
3578;1;28022;Southwest;US;North America;17255;IN;37121;16965;74;S;25001-50000;M;5;High School;Professional;1;3
3578;1;28047;Northwest;US;North America;10298;IN;37121;18617;70;S;50001-75000;M;2;Partial College;Professional;0;2
3016;1;14572;Southwest;US;North America;7587;IN;37122;26039;49;M;50001-75000;F;3;Graduate Degree;Professional;1;0
6070;1;16744;Australia;AU;Pacific;12392;IN;37122;15507;78;M;25001-50000;F;2;Bachelors ;Management;1;2
